"Bacteria","Lag_Combination","combination_id","AIC","BIC","Deviance_Explained_pct","GCV","sample_size","temp_lag","prec_lag","hum_lag","wet_lag","is_original_optimal","Rank","Optimal","CV_RMSE","CV_RMSE_sd"
"CR-Ec","3-3-3-3","T3_P3_H3_W3",-1214.7415298113,-1052.22474533346,77.9529699561887,-562.868908816799,621,3,3,3,3,FALSE,4,"No",0.110359001328476,0.0379186014068374
"CR-Ec","3-2-1-3","T3_P2_H1_W3",-1214.73067721734,-1052.16755889113,77.9533270846013,-562.868988603095,621,3,2,1,3,FALSE,5,"No",0.107127248009216,0.0402416495616309
"CR-Ec","3-2-3-3","T3_P2_H3_W3",-1214.72565153023,-1052.13646289973,77.9535663896955,-562.869021023788,621,3,2,3,3,FALSE,6,"No",0.11015166294902,0.0371083619168853
"CR-Ec","1-2-1-3","T1_P2_H1_W3",-1212.41983327773,-1046.09491990528,77.9315527315665,-563.063935654435,621,1,2,1,3,FALSE,7,"No",0.108917799515337,0.0408029865948591
"CR-Ec","1-2-2-3","T1_P2_H2_W3",-1212.40917918503,-1046.05581877736,77.9316303780657,-563.063864348738,621,1,2,2,3,FALSE,8,"No",0.108403708708403,0.0402212823060999
"CR-Ec","1-2-3-3","T1_P2_H3_W3",-1212.40837932101,-1046.05323958816,77.9316304918457,-563.063847746491,621,1,2,3,3,FALSE,9,"No",0.111323798939607,0.0398728538731848
"CR-Ec","1-3-1-3","T1_P3_H1_W3",-1212.40803969876,-1046.04905006888,77.9316801707867,-563.063969719511,621,1,3,1,3,FALSE,10,"No",0.109513524434244,0.0418221786958061
"CR-Ec","1-3-2-3","T1_P3_H2_W3",-1212.30825273268,-1043.70575987396,77.9640934710968,-563.094915754891,621,1,3,2,3,FALSE,11,"No",NA,NA
"CR-Ec","1-3-3-3","T1_P3_H3_W3",-1212.30520882855,-1043.69840298799,77.9640545331937,-563.094837293708,621,1,3,3,3,FALSE,12,"No",NA,NA
"CR-Ec","2-3-3-3","T2_P3_H3_W3",-1212.1452645042,-1051.03310593354,77.8379904966112,-562.220400424551,621,2,3,3,3,FALSE,13,"No",NA,NA
"CR-Ec","2-3-1-3","T2_P3_H1_W3",-1212.14479524891,-1051.01261289889,77.8382962699291,-562.220484701502,621,2,3,1,3,FALSE,14,"No",NA,NA
"CR-Ec","2-3-2-3","T2_P3_H2_W3",-1212.13871752632,-1051.00745601472,77.838064540586,-562.220314613206,621,2,3,2,3,TRUE,15,"No",0.10964425929553,0.042295924098326
"CR-Ec","2-2-3-3","T2_P2_H3_W3",-1211.97215848405,-1049.93657466372,77.846684614757,-562.223993025979,621,2,2,3,3,FALSE,16,"No",NA,NA
"CR-Ec","2-2-2-3","T2_P2_H2_W3",-1211.97192010423,-1049.93382790846,77.8467164972941,-562.223956494423,621,2,2,2,3,FALSE,17,"No",NA,NA
"CR-Ec","2-2-1-3","T2_P2_H1_W3",-1211.9656012269,-1049.91378754483,77.8467120047015,-562.22378437987,621,2,2,1,3,FALSE,18,"No",NA,NA
"CR-Ec","2-3-3-2","T2_P3_H3_W2",-1210.77250154358,-1040.07615423066,77.9431217659972,-560.697760629111,621,2,3,3,2,FALSE,19,"No",NA,NA
