"P10","P50","P90","OR_P10","OR_P50","OR_P90","ORratio","DlogOR","Dir","Source","Bacteria","Mode","CV"
63.2091,75.1695,81.7038,0.998375849196454,1.00030524165396,1.00135949815748,1.00298850274016,0.0029840460428701,1,"Primary","CR-Kp","common","Humidity"
66.93,154.15,198.11,0.894755273577976,0.937943769321,0.959823131648688,1.07272140214443,0.0701987860810454,1,"Primary","CR-Kp","common","WetDays"
6.4777,10.6814,20.8143,0.925535148787205,0.994845393495461,1.08324289753436,1.17039628257642,0.157342394519501,1,"ERA5","CR-Kp","full","Temperature"
581.5684,861.3604,1397.9231,0.937932114224439,1.02048853416595,0.988941307788182,1.05438473935389,0.0529574113627076,1,"ERA5","CR-Kp","full","Precipitation"
63.347,75.227,81.866,0.999999806601662,0.999999354472401,1.00000033805015,1.00000053144859,5.31448446670744e-07,1,"ERA5","CR-Kp","full","Humidity"
147.2375,234.8414,279.3861,0.975317521979596,0.995652817460068,1.02027447819159,1.04609468731859,0.0450638847948812,1,"ERA5","CR-Kp","full","WetDays"
6.42863,10.6287,20.85105,0.947718618712186,0.998109548306316,1.04240382118803,1.09990855999485,0.0952270490716551,1,"ERA5","CR-Kp","common","Temperature"
576.22677,860.4055,1368.99349,0.961630203828604,1.01735085196564,1.01797690233903,1.05859497578809,0.0569425343395062,1,"ERA5","CR-Kp","common","Precipitation"
63.2091,75.1695,81.7038,1.00000417410491,0.999988588551544,1.00000110909091,0.999996934998802,-3.06500589476613e-06,-1,"ERA5","CR-Kp","common","Humidity"
145.83939,234.2171,277.98227,0.999997316327936,0.999999635178584,1.00000214251118,1.00000482619619,4.82618454615014e-06,1,"ERA5","CR-Kp","common","WetDays"
5.7687,10.294,21.3334,0.90486350860919,0.969587398925604,1.15379682165677,1.27510592556683,0.24302925403548,1,"MERRA2","CR-Kp","full","Temperature"
510.1432,781.6064,1248.0764,0.999999814950535,1.00000001703179,1.00000013362535,1.00000031867488,3.18674824950969e-07,1,"MERRA2","CR-Kp","full","Precipitation"
65.0632,79.4375,88.2716,1.14233758670986,0.983862482686701,0.897812898913609,0.785943585643081,-0.240870263119798,-1,"MERRA2","CR-Kp","full","Humidity"
148.1938,237.093,304.2741,0.923114335805282,0.992022326854367,1.08487867261944,1.17523759575572,0.161470336308413,1,"MERRA2","CR-Kp","full","WetDays"
5.75043,10.2221,21.3074,0.909965109536284,0.970841449129926,1.13114531408758,1.24306448921322,0.217579693092025,1,"MERRA2","CR-Kp","common","Temperature"
509.06226,779.90715,1221.74063,0.999999403368309,1.00000009793397,1.00000047832183,1.00000107495416,1.07495358611742e-06,1,"MERRA2","CR-Kp","common","Precipitation"
64.98417,79.30355,88.27489,1.14469241160669,0.978461203436726,0.907064419166659,0.79240886894105,-0.232677771715266,-1,"MERRA2","CR-Kp","common","Humidity"
148.11148,236.03165,304.25079,0.941479561308925,0.991042214349626,1.06774916245666,1.13411826059419,0.125855486106389,1,"MERRA2","CR-Kp","common","WetDays"
4.79,10.5,19.94,0.976951632121404,0.985522146597712,1.0482972049375,1.07302876669664,0.0704852728853128,1,"Primary","CR-Pa","full","Temperature"
539.48,749.9,1313.95,1.04254231068594,1.04775187255175,0.89351216642805,0.857051226861154,-0.154257587537004,-1,"Primary","CR-Pa","full","Precipitation"
64.658875,75.4565,81.8772,1.0000002720853,0.999999944390139,0.999999859665411,0.999999587580219,-4.12419866290226e-07,-1,"Primary","CR-Pa","full","Humidity"
79.06,155.65,204.22,0.8216030700536,1.06446303894756,1.07170139919481,1.30440286588133,0.265745362018417,1,"Primary","CR-Pa","full","WetDays"
4.55,10.6,20.05,0.991036273694763,0.975956214026532,1.05595860260189,1.06550953848045,0.0634531246332609,1,"Primary","CR-Pa","common","Temperature"
538.85,744.5,1282.05,1.01769538767194,1.05192028062213,0.92195821574256,0.905927477819871,-0.098796022699488,-1,"Primary","CR-Pa","common","Precipitation"
64.5085,75.2215,81.774,1.06317501794329,0.992077004335805,0.971948928661756,0.914194664338508,-0.0897117495284465,-1,"Primary","CR-Pa","common","Humidity"
78,155.1,198.75,0.853390634896982,1.0514427945349,1.05053175609259,1.23100923906835,0.207834352509935,1,"Primary","CR-Pa","common","WetDays"
5.12245,10.5121,20.15314,0.991027880043616,0.983338399755902,1.02039510873992,1.02963310042802,0.0292025256058854,1,"ERA5","CR-Pa","full","Temperature"
626.12896,862.9046,1339.92943,0.992927955397635,1.06505881219464,0.899893729113868,0.906303145381267,-0.0983814313533673,-1,"ERA5","CR-Pa","full","Precipitation"
64.658875,75.4565,81.8772,1.03612751988743,1.01633378004837,0.96405982173244,0.930445146208627,-0.0720921555148515,-1,"ERA5","CR-Pa","full","Humidity"
160.48906,235.014,280.30942,1.00000136153477,1.00000198681073,0.999996707214678,0.999995345686244,-4.65432458723133e-06,-1,"ERA5","CR-Pa","full","WetDays"
4.9141,10.46795,19.99655,0.954725167646035,0.973929297453291,1.09728306974148,1.14931826134523,0.139168950368612,1,"ERA5","CR-Pa","common","Temperature"
623.94975,861.2543,1312.8086,1.02524435370818,1.06602409205079,0.933059027242411,0.910084531426727,-0.0942177921076837,-1,"ERA5","CR-Pa","common","Precipitation"
64.5085,75.2215,81.774,1.0436367346039,0.99584533159312,0.980996704969514,0.939979087016177,-0.0618976518207057,-1,"ERA5","CR-Pa","common","Humidity"
160.1051,234.06325,278.1483,0.959403060370601,1.02691453529887,1.01213866390346,1.05496709955511,0.0535095811859351,1,"ERA5","CR-Pa","common","WetDays"
4.26011,9.97865,20.78047,1.00869020239243,0.975713094003914,1.04170506000291,1.03273042360496,0.0322061915159059,1,"MERRA2","CR-Pa","full","Temperature"
540.79494,782.4658,1221.74063,1.01135543811171,1.04806149100466,0.917343989384171,0.90704410617194,-0.0975642014143396,-1,"MERRA2","CR-Pa","full","Precipitation"
66.95792,79.57035,88.49709,1.07740881043973,1.03182500520095,0.877966601460257,0.814887156066531,-0.204705634141653,-1,"MERRA2","CR-Pa","full","Humidity"
151.52498,237.79765,304.53905,0.960135132088435,1.00271867296968,1.03471536456582,1.07767680817507,0.0748076206480485,1,"MERRA2","CR-Pa","full","WetDays"
3.95105,9.93845,20.29645,1.01633554864559,0.985571236716861,1.01583052380521,0.99950309241761,-0.000497031081875772,-1,"MERRA2","CR-Pa","common","Temperature"
538.29975,780.28085,1171.1417,1.01874887590784,1.05039558376205,0.922938636289181,0.905953035252893,-0.0987678117519792,-1,"MERRA2","CR-Pa","common","Precipitation"
66.89005,79.38525,88.5215,1.06160235511998,1.02318838933667,0.907665569421729,0.854995813681238,-0.156658706336617,-1,"MERRA2","CR-Pa","common","Humidity"
151.26595,236.77515,304.46335,0.985152393387086,1.00097027265937,1.01286996232158,1.02813531096362,0.027746783822094,1,"MERRA2","CR-Pa","common","WetDays"
