"x","x_orig","fit","se","or","lo","hi","Spec","Bacteria","Variable","Variable_label"
-2.33143990892346,-3.38677354709419,-0.124628868134402,0.0820088256525319,0.882824486091015,0.751738942365151,1.03676825732847,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.31711168690057,-3.28657314629258,-0.122125493003416,0.0813611828781158,0.88503729554498,0.754580425935463,1.03804841416939,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.30278346487768,-3.18637274549098,-0.119628986029975,0.0807342745896618,0.887249557639935,0.757396666908618,1.0393652519562,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.28845524285479,-3.08617234468938,-0.117139461265221,0.0801280844897143,0.889461139137418,0.760187240577258,1.04071875428331,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.27412702083189,-2.98597194388778,-0.114657032760296,0.0795425729334849,0.891671905722919,0.762951758551777,1.04210886015224,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.259798798809,-2.88577154308617,-0.112181814566343,0.0789776763685714,0.893881722007497,0.765689870326387,1.04353546246928,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.24547057678611,-2.78557114228457,-0.109713920734503,0.0784333068470695,0.896090451529593,0.76840126473594,1.0449984066573,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.23114235476322,-2.68537074148297,-0.10725346531592,0.0779093516159117,0.898297956757042,0.771085671290846,1.04649748939441,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.21681413274033,-2.58517034068136,-0.104800562361735,0.0774056727907314,0.900504099089284,0.773742861378107,1.0480324574915,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.20248591071744,-2.48496993987976,-0.102355325923091,0.076922107117933,0.902708738859781,0.776372649317406,1.04960300691977,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.18815768869454,-2.38476953907816,-0.0999178700511308,0.0764584658289336,0.904911735338634,0.778974893262289,1.05120878199839,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.17382946667165,-2.28456913827655,-0.0974883087969961,0.0760145345897543,0.907112946735416,0.781549495937726,1.05284937475102,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.15950124464876,-2.18436873747495,-0.0950667562118293,0.0755900735482816,0.909312230202202,0.784096405206757,1.05452432443849,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.14517302262587,-2.08416833667335,-0.092653326346773,0.0751848174806094,0.911509441836825,0.78661561446047,1.05623311727361,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.13084480060298,-1.98396793587174,-0.0902481332529697,0.0747984760369224,0.913704436686332,0.789107162827206,1.05797518632219,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.11651657858008,-1.88376753507014,-0.0878512909815611,0.0744307340864126,0.915897068750668,0.791571135198624,1.05974991159269,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
