"NAME","Cluster","Optimal_K","Selection_Method","Region","Climate_Factor"
"Czechia",4,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"France",4,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Lithuania",4,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Poland",4,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Russia",4,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Slovakia",4,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Slovenia",4,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Ghana",4,10,"Gap statistic (restricted maxSE)","Sub-Saharan Africa","Wet Days"
"New Zealand",5,10,"Gap statistic (restricted maxSE)","East Asia and Pacific","Wet Days"
"Iceland",5,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Kosovo",5,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Norway",5,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Egypt",5,10,"Gap statistic (restricted maxSE)","Middle East and North Africa","Wet Days"
"Lebanon",5,10,"Gap statistic (restricted maxSE)","Middle East and North Africa","Wet Days"
"United Arab Emirates",5,10,"Gap statistic (restricted maxSE)","Middle East and North Africa","Wet Days"
"Canada",5,10,"Gap statistic (restricted maxSE)","North America","Wet Days"
"Philippines",6,10,"Gap statistic (restricted maxSE)","East Asia and Pacific","Wet Days"
"Austria",6,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Belgium",6,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Denmark",6,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Estonia",6,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Finland",6,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Germany",6,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Latvia",6,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Luxembourg",6,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Netherlands",6,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Sweden",6,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Switzerland",6,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"United Kingdom",6,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Venezuela",6,10,"Gap statistic (restricted maxSE)","Latin America and the Caribbean","Wet Days"
"Japan",7,10,"Gap statistic (restricted maxSE)","East Asia and Pacific","Wet Days"
"Malaysia",7,10,"Gap statistic (restricted maxSE)","East Asia and Pacific","Wet Days"
"Taiwan",7,10,"Gap statistic (restricted maxSE)","East Asia and Pacific","Wet Days"
"Ireland",7,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Australia",8,10,"Gap statistic (restricted maxSE)","East Asia and Pacific","Wet Days"
