"Bacteria","scenario","period","gcm_mean_change_pct","gcm_min_change_pct","gcm_max_change_pct","gcm_sd_change_pct","gcm_range_width_pct","n_climate_models","Scenario_Label","Scenario_Full_Label"
"CR-Kp","ssp585","2050s",41.5881255472592,35.2393333741858,48.8354979715169,5.71827534820472,13.5961645973311,4,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
"CR-Kp","ssp585","2090s",57.6743249476284,53.9384732923196,65.3679573898015,5.35020752300351,11.4294840974819,4,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
"CR-Pa","ssp126","2030s",6.18275255032943,0.634068284628433,16.0055175182341,6.79869108290865,15.3714492336057,4,"SSP1-2.6","SSP1-2.6 (Sustainability)"
"CR-Pa","ssp126","2050s",8.47296334464483,3.3216520140879,18.3161763480451,6.73824801931376,14.9945243339572,4,"SSP1-2.6","SSP1-2.6 (Sustainability)"
"CR-Pa","ssp126","2090s",7.54477802882636,1.53164120254641,16.9688468352275,6.81285763455171,15.4372056326811,4,"SSP1-2.6","SSP1-2.6 (Sustainability)"
"CR-Pa","ssp245","2030s",7.70856520170654,1.45947957409551,17.1941575082755,6.75926275491197,15.73467793418,4,"SSP2-4.5","SSP2-4.5 (Middle of the Road)"
"CR-Pa","ssp245","2050s",11.3648222457971,5.2565184624777,21.6744228137656,7.12822694615896,16.4179043512879,4,"SSP2-4.5","SSP2-4.5 (Middle of the Road)"
"CR-Pa","ssp245","2090s",12.0542668434555,7.20812651427492,19.0401608672145,4.99574902252758,11.8320343529395,4,"SSP2-4.5","SSP2-4.5 (Middle of the Road)"
"CR-Pa","ssp370","2030s",10.010824978852,3.6184429033711,18.3279683755925,6.47160304888466,14.7095254722214,4,"SSP3-7.0","SSP3-7.0 (Regional Rivalry)"
"CR-Pa","ssp370","2050s",12.7487682935882,8.65775107569484,18.9078604006893,4.77610200798179,10.2501093249944,4,"SSP3-7.0","SSP3-7.0 (Regional Rivalry)"
"CR-Pa","ssp370","2090s",12.890531762204,11.9339500940528,14.3735904434392,1.14506228752944,2.43964034938633,4,"SSP3-7.0","SSP3-7.0 (Regional Rivalry)"
"CR-Pa","ssp585","2030s",9.95979318509349,5.99523016937118,20.423366048195,6.98991652188435,14.4281358788239,4,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
"CR-Pa","ssp585","2050s",13.7262792898199,10.0224595753332,22.143628151897,5.68490581248147,12.1211685765639,4,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
"CR-Pa","ssp585","2090s",15.3621131759232,13.2442952066484,17.721909755042,1.93604262819736,4.47761454839361,4,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
